competition_id,job_name,competition_name,competition_desc,official_url,competition_type,organizer,target_audience,team_mode,frequency,difficulty,cap_tags,skill_tags,award_level
comp_001,项目经理/主管|产品专员/助理|管培生/储备干部,中国国际“互联网+”大学生创新创业大赛,互联网+大赛面向大学生创新创业项目，要求提交商业计划并进行路演答辩，综合考察创新意识、商业模式、团队协作与社会价值，是影响力最大的双创赛事之一。,https://cy.ncss.cn/,创新创业,教育部等部委,本科在校生,团队,每年,高阶,cap_req_innovation|cap_req_teamwork|cap_req_social|cap_req_growth,商业计划|创新思维|团队协作,国家级
comp_002,项目经理/主管|产品专员/助理|管培生/储备干部,“挑战杯”全国大学生课外学术科技作品竞赛,“挑战杯”全国大学生课外学术科技作品竞赛是面向大学生的创新创业竞赛，入选2024年全国普通高校学科竞赛排行榜（综合类），旨在提升参赛者的专业理论、实践应用与综合创新能力，适合相关领域在校生参与以积累竞赛成果与项目经验。,http://www.tiaozhanbei.net/,创新创业,共青团中央、中国科协、教育部,本科在校生,团队,每年,高阶,cap_req_innovation|cap_req_teamwork|cap_req_social|cap_req_growth,科研创新|商业计划|团队协作,国家级
comp_003,项目经理/主管|产品专员/助理|管培生/储备干部,“挑战杯”中国大学生创业计划大赛,“挑战杯”中国大学生创业计划大赛是面向大学生的创新创业竞赛，入选2024年全国普通高校学科竞赛排行榜（综合类），旨在提升参赛者的专业理论、实践应用与综合创新能力，适合相关领域在校生参与以积累竞赛成果与项目经验。,http://www.tiaozhanbei.net/,创新创业,共青团中央、中国科协、教育部,本科在校生,团队,每年,高阶,cap_req_innovation|cap_req_teamwork|cap_req_social|cap_req_growth,科研创新|商业计划|团队协作,国家级
comp_004,Java|C/C++|前端开发|测试工程师|软件测试,ACM-ICPC国际大学生程序设计竞赛,ACM-ICPC 是全球最具影响力的大学生程序设计竞赛，限时完成算法题设计与实现，重点考察数据结构、算法、编码与团队协作能力。,https://icpc.global/,程序设计,ICPC Foundation,本科在校生,团队,每年,进阶,cap_req_theory|cap_req_practice|cap_req_digital|cap_req_growth,算法|数据结构|编程|C++|问题求解,国家级
comp_005,科研人员|统计员|Java|C/C++,全国大学生数学建模竞赛,全国大学生数学建模竞赛要求在有限时间内完成建模、求解与论文撰写，考察数学理论、数据分析、建模思维与团队协作。,http://www.mcm.edu.cn/,学科竞赛,教育部相关教指委/学会,本科在校生,团队,每年,进阶,cap_req_theory|cap_req_cross|cap_req_practice|cap_req_innovation,数学建模|数据分析|MATLAB,国家级
comp_006,C/C++|硬件测试|科研人员|Java,全国大学生电子设计竞赛,全国大学生电子设计竞赛是面向大学生的学科专业竞赛，入选2024年全国普通高校学科竞赛排行榜（电子信息类），旨在提升参赛者的专业理论、实践应用与综合创新能力，适合相关领域在校生参与以积累竞赛成果与项目经验。,http://www.nuedcchina.com/,学科竞赛,教育部相关教指委/学会,本科在校生,团队,每年,进阶,cap_req_theory|cap_req_practice|cap_req_digital|cap_req_innovation,嵌入式|电路设计|硬件开发,国家级
comp_007,科研人员,中国大学生医学技术技能大赛,中国大学生医学技术技能大赛是面向大学生的学科专业竞赛，入选2024年全国普通高校学科竞赛排行榜（医学类），旨在提升参赛者的专业理论、实践应用与综合创新能力，适合相关领域在校生参与以积累竞赛成果与项目经验。,https://www.cmte.org.cn/,学科竞赛,教育部相关教指委/学会,本科在校生,团队,每年,进阶,cap_req_theory|cap_req_practice|cap_req_teamwork|cap_req_social,临床技能|医学理论|实操,国家级
comp_008,C/C++|硬件测试|风电工程师|科研人员,全国大学生机械创新设计大赛,全国大学生机械创新设计大赛是面向大学生的学科专业竞赛，入选2024年全国普通高校学科竞赛排行榜（其他工学类），旨在提升参赛者的专业理论、实践应用与综合创新能力，适合相关领域在校生参与以积累竞赛成果与项目经验。,http://11umic.hust.edu.cn/,学科竞赛,教育部相关教指委/学会,本科在校生,团队,每年,进阶,cap_req_practice|cap_req_theory|cap_req_innovation|cap_req_teamwork,机械设计|CAD|创新设计,国家级
comp_009,C/C++|硬件测试|风电工程师|科研人员,全国大学生结构设计竞赛,全国大学生结构设计竞赛是面向大学生的学科专业竞赛，入选2024年全国普通高校学科竞赛排行榜（其他工学类），旨在提升参赛者的专业理论、实践应用与综合创新能力，适合相关领域在校生参与以积累竞赛成果与项目经验。,http://www.structurecontest.com/,学科竞赛,教育部相关教指委/学会,本科在校生,团队,每年,进阶,cap_req_practice|cap_req_theory|cap_req_innovation|cap_req_teamwork,结构力学|建模|工程设计,国家级
comp_010,内容审核|产品专员/助理,全国大学生广告艺术大赛,全国大学生广告艺术大赛是面向大学生的学科专业竞赛，入选2024年全国普通高校学科竞赛排行榜（艺术类），旨在提升参赛者的专业理论、实践应用与综合创新能力，适合相关领域在校生参与以积累竞赛成果与项目经验。,http://www.sun-ada.net/,学科竞赛,教育部相关教指委/学会,本科在校生,团队,每年,入门,cap_req_innovation|cap_req_practice|cap_req_cross|cap_req_growth,广告创意|视觉设计|策划,国家级
comp_011,C/C++|硬件测试|科研人员|Java,全国大学生智能汽车竞赛,全国大学生智能汽车竞赛是面向大学生的学科专业竞赛，入选2024年全国普通高校学科竞赛排行榜（电子信息类），旨在提升参赛者的专业理论、实践应用与综合创新能力，适合相关领域在校生参与以积累竞赛成果与项目经验。,http://smartcar.moocollege.com/datacenter,学科竞赛,教育部相关教指委/学会,本科在校生,团队,每年,进阶,cap_req_theory|cap_req_practice|cap_req_digital|cap_req_innovation,嵌入式|自动控制|电子,国家级
