resource_id,job_name,resource_name,resource_desc,resource_url,resource_type,difficulty,source,skill_tag
Java_1,Java,Java程序设计（零基础入门）,东北大学开设的Java零基础课程，从环境搭建、基本语法、流程控制到数组与函数，系统讲解Java程序设计入门知识，适合无编程基础的大学生学习。,https://www.icourse163.org/learn/-1205915818,视频课程,入门,中国大学MOOC,Java基础
Java_2,Java,Java程序设计,北京大学计算机系经典Java课程，涵盖Java语法、面向对象、GUI、多线程、JDBC与网络编程等核心内容，配套编程作业与项目实践，适合有一定基础后系统提升。,https://www.icourse163.org/learn/PKU-1001941004,视频课程,进阶,中国大学MOOC,Java基础
Java_3,Java,Java面向对象程序设计,江苏海洋大学课程，聚焦类与对象、封装继承多态、接口与抽象类等面向对象核心概念，帮助建立Java OOP思维，为Web与框架开发打基础。,https://www.icourse163.org/learn/HHIT-1001753066,视频课程,入门,中国大学MOOC,面向对象
Java_4,Java,Learn Java（Oracle 官方学习路径）,Oracle 官方 dev.java 站点提供的Java学习资源，含语法速查、教程与最佳实践，内容权威且持续更新，适合作为Java语法与API查阅的权威参考。,https://dev.java/learn/,文档教程,入门,Oracle,Java基础
Java_5,Java,数据结构与算法（Java语言描述）,南京工程学院课程，以Java语言实现线性表、栈队列、树、图及常见排序查找算法，强化计算机基础与编码能力，是Java后端岗面试与工程实践的必备基础。,https://www.icourse163.org/learn/NJIT-1464552176,视频课程,进阶,中国大学MOOC,数据结构与算法
Java_6,Java,MySQL数据库设计与应用,昆明理工大学开设的数据库课程，讲解SQL语法、表设计、索引、事务与查询优化等，配合Java JDBC/Spring Data使用，是Java后端开发必备的数据存储技能。,https://www.icourse163.org/learn/KMUST-1206687836,视频课程,进阶,中国大学MOOC,MySQL
Java_7,Java,JavaEE平台技术,厦门大学课程，讲解Spring IoC/AOP、Spring MVC、MyBatis持久层与Redis缓存等企业级Java Web开发技术栈，贴近Java后端岗位主流技术选型。,https://www.icourse163.org/learn/XMU-1462056168,视频课程,进阶,中国大学MOOC,Spring Boot
Java_8,Java,开发您的第一个 Spring Boot 应用程序,Spring Boot 中文参考文档中的官方入门教程，涵盖项目创建、依赖配置、启动运行与第一个 Web 应用，是国内访问较稳定的 Spring Boot 入门文档。,https://www.spring-doc.cn/spring-boot/3.4.9/tutorial_first-application_index.html,文档教程,进阶,Spring 中文文档,Spring Boot
Java_9,Java,Java Web应用开发,扬州职业技术大学课程，讲解Servlet、JSP、MVC模式与Java Web开发流程，为学习Spring/Spring MVC/MyBatis等Java后端框架打基础。,https://www.icourse163.org/learn/YZPC-1449963190,视频课程,进阶,中国大学MOOC,Java Web
Java_10,Java,AcWing 算法题库,AcWing 在线算法练习平台，提供按专题分类的编程题与Java提交环境，适合巩固数据结构与算法、提升笔试与面试通过率。,https://www.acwing.com/problem/,在线练习,进阶,AcWing,算法练习
Java_11,Java,Pro Git 第二版（中文版）,Git 官方书籍中文版，涵盖版本控制概念、分支合并、远程协作与常见工作流，是Java团队开发中代码管理与协作的必备工具技能。,https://git-scm.com/book/zh/v2,文档教程,入门,Git 官方,Git版本控制
Java_12,Java,Maven Getting Started Guide,Apache Maven 官方入门文档，介绍项目结构、pom.xml配置、依赖管理与构建生命周期，是Java工程化与Spring Boot项目构建的基础工具。,https://maven.apache.org/guides/getting-started/index.html,文档教程,入门,Apache,Maven构建
Java_13,Java,Java开发手册（嵩山版）,阿里云开发者社区官方专题页，提供阿里巴巴 Java 开发手册嵩山版下载与阅读入口，涵盖编程规约、异常日志、MySQL与工程结构等工程实践规范。,https://developer.aliyun.com/topic/java20,文档教程,进阶,阿里云开发者社区,Java工程规范
