from_job_title,to_job_title,score,rank,track_from,track_to,cap_similarity,same_track,promotion_linked,rationale
Java,前端开发,0.8988,1,技术研发,技术研发,0.9981,1,0,能力画像高度相近；同职业赛道
Java,C/C++,0.8981,2,技术研发,技术研发,0.9971,1,0,能力画像高度相近；同职业赛道
Java,科研人员,0.887,3,技术研发,技术研发,0.98,1,0,能力画像高度相近；同职业赛道
Java,风电工程师,0.8743,4,技术研发,技术研发,0.9604,1,0,能力画像高度相近；同职业赛道
Java,软件测试,0.648,5,技术研发,测试质量,0.9969,0,0,能力画像高度相近
Java,测试工程师,0.6462,6,技术研发,测试质量,0.9941,0,0,能力画像高度相近
Java,硬件测试,0.6415,7,技术研发,测试质量,0.987,0,0,能力画像高度相近
Java,实施工程师,0.6401,8,技术研发,实施运维,0.9847,0,0,能力画像高度相近
实施工程师,技术支持工程师,0.8992,1,实施运维,实施运维,0.9988,1,0,能力画像高度相近；同职业赛道
实施工程师,项目经理/主管,0.745,2,实施运维,产品项目,0.9923,0,1,能力画像高度相近；晋升终点岗位互相关联
实施工程师,销售工程师,0.7356,3,实施运维,市场销售,0.9779,0,1,能力画像高度相近；晋升终点岗位互相关联
实施工程师,项目专员/助理,0.647,4,实施运维,产品项目,0.9954,0,0,能力画像高度相近
实施工程师,产品专员/助理,0.6469,5,实施运维,产品项目,0.9953,0,0,能力画像高度相近
实施工程师,统计员,0.6463,6,实施运维,数据分析,0.9943,0,0,能力画像高度相近
实施工程师,运营助理/专员,0.6458,7,实施运维,运营增长,0.9935,0,0,能力画像高度相近
实施工程师,项目招投标,0.6458,8,实施运维,产品项目,0.9935,0,0,能力画像高度相近
技术支持工程师,实施工程师,0.8992,1,实施运维,实施运维,0.9988,1,0,能力画像高度相近；同职业赛道
技术支持工程师,产品专员/助理,0.6476,2,实施运维,产品项目,0.9963,0,0,能力画像高度相近
技术支持工程师,项目专员/助理,0.6476,3,实施运维,产品项目,0.9963,0,0,能力画像高度相近
技术支持工程师,项目经理/主管,0.6473,4,实施运维,产品项目,0.9959,0,0,能力画像高度相近
技术支持工程师,项目招投标,0.6465,5,实施运维,产品项目,0.9947,0,0,能力画像高度相近
技术支持工程师,英语翻译,0.6462,6,实施运维,语言翻译,0.9941,0,0,能力画像高度相近
技术支持工程师,培训师,0.6459,7,实施运维,人力培训,0.9937,0,0,能力画像高度相近
技术支持工程师,知识产权/专利代理,0.6455,8,实施运维,法务知产,0.9931,0,0,能力画像高度相近
测试工程师,质量管理/测试,0.9929,1,测试质量,测试质量,0.9892,1,1,能力画像高度相近；同职业赛道；晋升终点岗位互相关联
测试工程师,硬件测试,0.8988,2,测试质量,测试质量,0.9982,1,0,能力画像高度相近；同职业赛道
测试工程师,软件测试,0.8987,3,测试质量,测试质量,0.998,1,0,能力画像高度相近；同职业赛道
测试工程师,质检员,0.8847,4,测试质量,测试质量,0.9765,1,0,能力画像高度相近；同职业赛道
测试工程师,Java,0.6462,5,测试质量,技术研发,0.9941,0,0,能力画像高度相近
测试工程师,C/C++,0.644,6,测试质量,技术研发,0.9907,0,0,能力画像高度相近
测试工程师,前端开发,0.6439,7,测试质量,技术研发,0.9906,0,0,能力画像高度相近
测试工程师,实施工程师,0.6436,8,测试质量,实施运维,0.9901,0,0,能力画像高度相近
科研人员,C/C++,0.8917,1,技术研发,技术研发,0.9873,1,0,能力画像高度相近；同职业赛道
科研人员,Java,0.887,2,技术研发,技术研发,0.98,1,0,能力画像高度相近；同职业赛道
科研人员,前端开发,0.8794,3,技术研发,技术研发,0.9683,1,0,能力画像高度相近；同职业赛道
科研人员,风电工程师,0.8672,4,技术研发,技术研发,0.9496,1,0,能力画像高度相近；同职业赛道
科研人员,产品专员/助理,0.733,5,技术研发,产品项目,0.9738,0,1,能力画像高度相近；晋升终点岗位互相关联
