promotion_id,job_title,stage,stage_role,resource_id,resource_name,difficulty,resource_type,skill_tag,score,rank,rationale
Java_promotion1,Java,1,Java初级开发工程师,Java_1,Java程序设计（零基础入门）,入门,视频课程,Java基础,0.51,1,难度入门适配阶段1
Java_promotion1,Java,1,Java初级开发工程师,Java_3,Java面向对象程序设计,入门,视频课程,面向对象,0.51,2,难度入门适配阶段1
Java_promotion1,Java,1,Java初级开发工程师,Java_11,Pro Git第二版（中文版）,入门,文档教程,Git版本控制,0.43,3,难度入门适配阶段1
Java_promotion1,Java,1,Java初级开发工程师,Java_12,Maven Getting Started,入门,文档教程,Maven构建,0.43,4,难度入门适配阶段1
Java_promotion1,Java,1,Java初级开发工程师,Java_14,Redis入门指南,入门,文档教程,Redis,0.43,5,难度入门适配阶段1
Java_promotion1,Java,2,Java开发工程师,Java_10,AcWing算法题库,进阶,在线练习,算法练习,0.43,1,难度进阶适配阶段2
Java_promotion1,Java,2,Java开发工程师,Java_13,Java开发手册（嵩山版）,进阶,文档教程,Java工程规范,0.43,2,难度进阶适配阶段2
Java_promotion1,Java,2,Java开发工程师,Java_2,Java程序设计,进阶,视频课程,Java基础,0.43,3,难度进阶适配阶段2
Java_promotion1,Java,2,Java开发工程师,Java_5,数据结构与算法（Java描述）,进阶,视频课程,数据结构与算法,0.43,4,难度进阶适配阶段2
Java_promotion1,Java,2,Java开发工程师,Java_6,MySQL数据库设计与应用,进阶,视频课程,MySQL,0.43,5,难度进阶适配阶段2
Java_promotion1,Java,3,高级Java开发工程师,Java_10,AcWing算法题库,进阶,在线练习,算法练习,0.49,1,难度进阶适配阶段3
Java_promotion1,Java,3,高级Java开发工程师,Java_13,Java开发手册（嵩山版）,进阶,文档教程,Java工程规范,0.49,2,难度进阶适配阶段3
Java_promotion1,Java,3,高级Java开发工程师,Java_8,开发第一个Spring Boot应用,进阶,文档教程,Spring Boot,0.49,3,难度进阶适配阶段3
Java_promotion1,Java,3,高级Java开发工程师,Java_2,Java程序设计,进阶,视频课程,Java基础,0.43,4,难度进阶适配阶段3
Java_promotion1,Java,3,高级Java开发工程师,job_interview10,牛客网笔试面试题库,进阶,在线练习,笔试面试,0.82,5,通用面试资源；适配岗位「Java」面试场景；贴合晋级路径「开发」
Java_promotion1,Java,3,高级Java开发工程师,job_interview2,求职OMG-大学生就业指导与技能开发,入门,视频课程,面试技巧,0.32,6,通用面试资源；通用求职面试基础
Java_promotion2,Java,1,Java开发工程师,Java_1,Java程序设计（零基础入门）,入门,视频课程,Java基础,0.51,1,难度入门适配阶段1
Java_promotion2,Java,1,Java开发工程师,Java_3,Java面向对象程序设计,入门,视频课程,面向对象,0.51,2,难度入门适配阶段1
Java_promotion2,Java,1,Java开发工程师,Java_11,Pro Git第二版（中文版）,入门,文档教程,Git版本控制,0.43,3,难度入门适配阶段1
Java_promotion2,Java,1,Java开发工程师,Java_12,Maven Getting Started,入门,文档教程,Maven构建,0.43,4,难度入门适配阶段1
Java_promotion2,Java,1,Java开发工程师,Java_14,Redis入门指南,入门,文档教程,Redis,0.43,5,难度入门适配阶段1
Java_promotion2,Java,2,高级Java开发工程师,Java_10,AcWing算法题库,进阶,在线练习,算法练习,0.55,1,难度进阶适配阶段2；匹配路线关键词算法
Java_promotion2,Java,2,高级Java开发工程师,Java_5,数据结构与算法（Java描述）,进阶,视频课程,数据结构与算法,0.55,2,难度进阶适配阶段2；匹配路线关键词算法
Java_promotion2,Java,2,高级Java开发工程师,Java_7,JavaEE平台技术,进阶,视频课程,Spring Boot,0.55,3,难度进阶适配阶段2；匹配路线关键词Spring
Java_promotion2,Java,2,高级Java开发工程师,Java_8,开发第一个Spring Boot应用,进阶,文档教程,Spring Boot,0.55,4,难度进阶适配阶段2；匹配路线关键词Spring
Java_promotion2,Java,2,高级Java开发工程师,Java_13,Java开发手册（嵩山版）,进阶,文档教程,Java工程规范,0.43,5,难度进阶适配阶段2
Java_promotion2,Java,3,Java架构师 / 技术专家,Java_10,AcWing算法题库,进阶,在线练习,算法练习,0.61,1,难度进阶适配阶段3；匹配路线关键词算法
Java_promotion2,Java,3,Java架构师 / 技术专家,Java_8,开发第一个Spring Boot应用,进阶,文档教程,Spring Boot,0.61,2,难度进阶适配阶段3；匹配路线关键词Spring
Java_promotion2,Java,3,Java架构师 / 技术专家,Java_5,数据结构与算法（Java描述）,进阶,视频课程,数据结构与算法,0.55,3,难度进阶适配阶段3；匹配路线关键词算法
Java_promotion2,Java,3,Java架构师 / 技术专家,Java_7,JavaEE平台技术,进阶,视频课程,Spring Boot,0.55,4,难度进阶适配阶段3；匹配路线关键词Spring
Java_promotion2,Java,3,Java架构师 / 技术专家,job_interview10,牛客网笔试面试题库,进阶,在线练习,笔试面试,0.94,5,通用面试资源；适配岗位「Java」面试场景；贴合晋级路径「开发」；匹配路线能力「架构」
Java_promotion2,Java,3,Java架构师 / 技术专家,job_interview1,大学生职业发展与就业指导,入门,视频课程,求职指导,0.44,6,通用面试资源；匹配路线能力「架构」；通用求职面试基础
Java_promotion3,Java,1,Java开发工程师,Java_12,Maven Getting Started,入门,文档教程,Maven构建,0.55,1,难度入门适配阶段1；匹配路线关键词管理
Java_promotion3,Java,1,Java开发工程师,Java_1,Java程序设计（零基础入门）,入门,视频课程,Java基础,0.51,2,难度入门适配阶段1
Java_promotion3,Java,1,Java开发工程师,Java_3,Java面向对象程序设计,入门,视频课程,面向对象,0.51,3,难度入门适配阶段1
Java_promotion3,Java,1,Java开发工程师,Java_11,Pro Git第二版（中文版）,入门,文档教程,Git版本控制,0.43,4,难度入门适配阶段1
Java_promotion3,Java,1,Java开发工程师,Java_14,Redis入门指南,入门,文档教程,Redis,0.43,5,难度入门适配阶段1
Java_promotion3,Java,2,高级Java开发工程师,Java_2,Java程序设计,进阶,视频课程,Java基础,0.55,1,难度进阶适配阶段2；匹配路线关键词项目
Java_promotion3,Java,2,高级Java开发工程师,Java_8,开发第一个Spring Boot应用,进阶,文档教程,Spring Boot,0.55,2,难度进阶适配阶段2；匹配路线关键词项目
Java_promotion3,Java,2,高级Java开发工程师,Java_10,AcWing算法题库,进阶,在线练习,算法练习,0.43,3,难度进阶适配阶段2
Java_promotion3,Java,2,高级Java开发工程师,Java_13,Java开发手册（嵩山版）,进阶,文档教程,Java工程规范,0.43,4,难度进阶适配阶段2
Java_promotion3,Java,2,高级Java开发工程师,Java_5,数据结构与算法（Java描述）,进阶,视频课程,数据结构与算法,0.43,5,难度进阶适配阶段2
Java_promotion3,Java,3,Java技术负责人 / 研发主管,Java_8,开发第一个Spring Boot应用,进阶,文档教程,Spring Boot,0.61,1,难度进阶适配阶段3；匹配路线关键词项目
Java_promotion3,Java,3,Java技术负责人 / 研发主管,Java_2,Java程序设计,进阶,视频课程,Java基础,0.55,2,难度进阶适配阶段3；匹配路线关键词项目
Java_promotion3,Java,3,Java技术负责人 / 研发主管,Java_10,AcWing算法题库,进阶,在线练习,算法练习,0.49,3,难度进阶适配阶段3
Java_promotion3,Java,3,Java技术负责人 / 研发主管,Java_13,Java开发手册（嵩山版）,进阶,文档教程,Java工程规范,0.49,4,难度进阶适配阶段3
Java_promotion3,Java,3,Java技术负责人 / 研发主管,job_interview10,牛客网笔试面试题库,进阶,在线练习,笔试面试,0.94,5,通用面试资源；适配岗位「Java」面试场景；贴合晋级路径「开发」；匹配路线能力「管理」
Java_promotion3,Java,3,Java技术负责人 / 研发主管,job_interview9,人力资源管理,进阶,视频课程,面试技巧,0.63,6,通用面试资源；贴合晋级路径「管理」；匹配路线能力「管理」
C_C++_promotion1,C/C++,1,C/C++初级工程师,C_C_1,C语言程序设计,入门,视频课程,C语言,0.51,1,难度入门适配阶段1
C_C++_promotion1,C/C++,1,C/C++初级工程师,C_C_13,Linux系统管理,入门,视频课程,Linux,0.51,2,难度入门适配阶段1
C_C++_promotion1,C/C++,1,C/C++初级工程师,C_C_10,Pro Git第二版（中文版）,入门,文档教程,Git版本控制,0.43,3,难度入门适配阶段1
C_C++_promotion1,C/C++,1,C/C++初级工程师,C_C_6,Learn C++,入门,文档教程,C++,0.43,4,难度入门适配阶段1
